param_132,type,is_measured,normal_values,% of normal values,param dist.
986,AC/DC,1,0.34,55,374
433,AC/DC,0,0.25,24,342
580,AC/DC,0,0.63,23,943
11275,AC,1,0.38,11,1
10733,AC,1,0.78,65,201
329,AC/DC,0,0.87,54,179
847,AC,0,0.34,26,93
5734,AC,1,0.0,33,71
770,AC/DC,0,0.2,62,966
493,AC/DC,0,0.66,22,801
13856,AC,1,0.91,70,882
713,AC/DC,0,0.72,59,450
1381,AC,1,0.88,52,720
710,AC,0,0.5,25,268
701,AC/DC,0,0.01,53,90
2214,AC,1,0.8,10,353
13945,AC,1,0.24,56,2
959,AC/DC,0,0.67,38,180
5980,AC,1,0.07,24,104
530,AC/DC,0,0.5,18,914
790,AC/DC,0,0.46,78,472
11302,AC,1,0.67,93,40
19131,AC,1,0.66,80,620
43,AC/DC,0,0.09,6,35
15313,AC/DC,0,0.2,48,751
6052,AC,1,0.07,18,301
124,AC/DC,0,0.16,70,627
13830,AC,1,0.49,50,276
5598,AC,1,0.43,69,46
659,AC,0,0.49,24,32
10982,AC,1,0.63,56,7
4950,AC,1,0.01,42,186
19021,AC,1,0.06,19,652
262,AC/DC,0,0.64,10,569
237,AC/DC,0,0.05,53,862
14,AC/DC,1,0.88,39,429
180,AC/DC,0,0.2,100,474
719,AC/DC,0,0.25,93,890
330,AC/DC,0,0.31,83,658
2898,AC,1,0.65,43,332
12603,AC,1,0.44,29,504
4056,AC,1,0.03,60,655
4242,AC/DC,1,0.38,91,140
604,AC,0,0.71,77,654
923,AC/DC,0,0.55,11,10
768,AC/DC,0,0.32,37,335
157,AC/DC,0,0.96,9,545
16201,AC,1,0.9,60,927
733,AC/DC,1,0.76,73,956
190,AC/DC,0,0.07,80,287
958,AC/DC,0,0.89,98,2
2502,AC,1,0.99,10,345
436,AC/DC,0,0.14,45,457
13282,AC,1,0.34,9,706
13268,AC,1,0.55,76,112
11579,AC,1,0.42,20,388
511,AC,0,0.42,71,683
18136,AC,1,0.35,54,759
64,AC/DC,0,0.28,16,357
13105,AC,1,0.93,69,859
447,AC/DC,0,0.05,30,689
522,AC/DC,0,0.5,64,801
17692,AC,1,0.58,41,380
4458,AC,1,0.04,46,477
777,AC/DC,0,0.52,77,867
395,AC/DC,0,0.37,22,356
217,AC/DC,0,0.52,26,539
4497,AC,1,0.57,4,569
601,AC/DC,0,0.25,7,710
16575,AC,1,0.58,76,899
429,AC/DC,0,0.72,35,601
775,AC/DC,0,0.01,52,931
1861,AC,1,0.75,57,45
78,AC/DC,0,0.01,0,239
67,AC/DC,0,0.72,26,112
633,AC/DC,0,0.97,77,49
324,AC/DC,0,0.91,98,583
738,AC,1,0.15,90,920
10348,AC,1,0.43,13,827
7215,AC,1,0.31,24,28
11619,AC,1,0.5,70,352
152,AC/DC,0,0.83,62,463
17245,AC,0,0.86,34,328
17672,AC,1,0.46,97,704
15033,AC,1,0.25,97,984
840,AC/DC,0,0.65,94,711
7,AC/DC,0,0.4,4,362
415,AC/DC,0,0.67,27,525
128,AC/DC,1,0.01,98,95
12461,AC,1,0.59,6,469
14420,AC,0,0.06,99,308
471,AC/DC,0,0.64,12,596
161,AC/DC,0,0.26,97,847
358,AC/DC,0,0.65,33,262
203,AC/DC,0,0.18,66,644
11718,AC,1,0.85,85,485
501,AC/DC,0,0.77,70,63
55,AC/DC,0,0.02,15,658
470,AC/DC,0,0.81,70,427
857,AC/DC,0,0.91,31,766
976,AC/DC,0,0.77,24,55
964,AC/DC,0,0.37,10,810
617,AC/DC,0,0.52,7,180
18193,AC,1,0.74,63,699
5,AC/DC,0,0.68,59,513
10358,AC,1,0.76,53,53
705,AC/DC,0,0.62,94,850
401,AC/DC,0,0.1,27,953
46,AC,0,0.29,54,206
266,AC/DC,0,0.14,71,95
13049,AC,1,0.75,3,441
9286,AC/DC,1,0.46,88,201
966,AC,0,0.29,22,968
613,AC/DC,0,0.92,64,386
463,AC/DC,0,0.69,36,817
967,AC/DC,0,0.94,0,388
552,AC/DC,0,0.99,96,750
6055,AC,1,0.83,13,774
212,AC/DC,0,0.54,14,319
900,AC/DC,0,0.3,19,870
17822,AC,1,0.15,93,547
463,AC/DC,0,0.5,20,688
646,AC/DC,0,0.34,2,48
628,AC/DC,1,0.8,90,738
7,AC/DC,0,0.64,22,388
5070,AC,1,0.34,53,970
754,AC/DC,1,0.2,97,288
320,AC,0,0.36,51,343
11972,AC,1,0.54,46,25
6523,AC,1,0.6,56,888
16942,AC/DC,1,0.01,26,889
2729,AC/DC,1,0.16,92,569
427,AC/DC,0,0.07,100,97
734,AC/DC,0,0.65,23,262
155,AC/DC,0,0.08,63,451
79,AC/DC,0,0.68,3,611
146,AC/DC,0,0.24,70,523
792,AC/DC,0,0.24,37,664
16952,AC,0,0.03,94,639
28,AC/DC,1,0.38,16,754
594,AC/DC,0,0.08,56,25
16322,AC,1,0.22,42,31
668,AC/DC,0,0.53,34,27
891,AC/DC,0,0.88,83,134
886,AC,1,0.99,80,685
8,AC/DC,1,0.75,0,978
981,AC/DC,0,0.19,25,541
194,AC/DC,0,0.97,68,193
779,AC/DC,0,0.23,24,796
18321,AC,0,0.23,39,357
203,AC/DC,0,0.96,59,937
829,AC/DC,0,0.35,45,616
507,AC/DC,0,0.2,94,793
617,AC/DC,0,0.66,23,344
802,AC/DC,0,0.1,35,754
26,AC/DC,0,0.42,96,364
5546,AC/DC,1,0.73,62,75
6625,AC,1,0.77,5,947
18578,AC,1,0.01,21,767
941,AC,0,0.72,14,684
686,AC/DC,0,0.99,49,511
5062,AC,1,0.11,94,928
350,AC/DC,1,0.69,58,982
962,AC/DC,0,0.08,32,297
385,AC/DC,0,0.52,91,17
283,AC/DC,0,0.18,18,994
368,AC/DC,0,0.68,50,966
146,AC/DC,0,0.49,34,235
34,AC/DC,0,0.06,67,321
2716,AC,1,0.73,54,539
3756,AC/DC,0,0.57,45,56
303,AC/DC,0,0.58,57,282
4182,AC,1,0.84,88,940
934,AC/DC,0,0.02,22,454
688,AC,0,0.52,65,184
6076,AC,0,0.86,69,443
906,AC/DC,0,0.4,79,242
996,AC/DC,0,0.15,18,129
97,AC,0,0.09,59,675
13216,AC,1,0.92,18,950
19077,AC,1,0.7,24,527
19075,AC,1,0.11,91,584
658,AC/DC,0,0.44,96,376
555,AC/DC,0,0.2,10,438
107,AC/DC,0,0.46,81,32
549,AC/DC,0,0.11,54,531
13164,AC,1,0.64,18,939
755,AC,0,0.04,72,1000
194,AC/DC,0,0.34,24,316
42,AC/DC,0,0.45,46,104
123,AC,0,0.73,75,443
5324,AC,0,0.05,55,877
8352,AC,1,0.81,23,645
17296,AC,1,0.49,91,403
16738,AC,1,0.86,22,852
2893,AC,1,0.73,86,406
11,AC/DC,0,0.51,64,626
51,AC/DC,0,0.11,17,368
552,AC/DC,0,0.29,51,594
19996,AC,1,0.75,33,701
111,AC/DC,1,0.14,78,60
154,AC/DC,1,0.31,6,312
562,AC/DC,1,0.08,59,593
15781,AC,1,0.52,32,293
10267,AC/DC,1,0.24,51,86
509,AC/DC,0,0.66,71,31
9286,AC,1,0.52,10,471
515,AC/DC,1,0.3,96,160
6632,AC,1,0.5,94,318
10483,AC,1,0.9,33,878
569,AC,0,0.71,11,919
639,AC/DC,0,0.39,67,908
17190,AC,1,0.69,59,655
10436,AC,1,1.0,87,212
181,AC/DC,0,0.04,91,398
615,AC/DC,1,0.94,70,704
2444,AC,1,0.12,26,96
260,AC/DC,0,0.11,96,482
496,AC/DC,0,0.14,0,95
401,AC/DC,0,0.26,99,47
452,AC/DC,0,0.29,33,931
156,AC/DC,0,0.98,59,803
1,AC/DC,0,0.46,37,585
797,AC/DC,0,0.73,5,756
689,AC/DC,0,0.83,89,118
219,AC/DC,0,0.01,47,152
306,AC/DC,0,0.5,77,809
328,AC/DC,0,0.55,19,547
11689,AC,1,0.23,67,946
182,AC/DC,0,0.34,35,758
651,AC/DC,0,0.71,22,390
143,AC/DC,0,0.08,48,701
354,AC/DC,0,0.35,6,902
6508,AC,0,0.73,49,946
19056,AC,0,0.1,88,162
2058,AC,1,0.44,0,744
271,AC/DC,0,0.2,44,208
16793,AC,1,0.3,22,440
182,AC/DC,1,0.24,70,326
10634,AC,1,0.15,12,13
198,AC/DC,0,0.88,24,965
4180,AC,1,0.89,14,552
2749,AC,1,0.29,47,283
166,AC/DC,0,0.18,25,177
824,AC/DC,1,0.87,10,563
15567,AC,1,0.2,69,892
1451,AC/DC,1,0.97,34,433
154,AC/DC,0,0.44,78,482
8107,AC,0,0.66,40,243
14,AC/DC,0,0.63,41,334
764,AC/DC,0,0.85,77,328
166,AC/DC,0,0.79,43,925
362,AC/DC,0,0.15,58,461
84,AC/DC,1,0.53,64,915
435,AC/DC,0,0.04,71,41
634,AC/DC,0,0.63,23,568
657,AC/DC,1,0.89,51,701
148,AC/DC,0,0.73,16,24
17692,AC,1,0.77,89,933
2402,AC,1,0.52,37,696
43,AC/DC,0,0.29,97,73
10930,AC,1,0.2,1,394
3973,AC,1,0.7,44,367
17512,AC,1,0.16,11,735
914,AC/DC,0,0.5,67,779
893,AC/DC,0,0.21,40,674
18909,AC,0,0.55,17,181
375,AC/DC,0,0.29,12,166
881,AC/DC,0,0.06,7,988
17727,AC,1,0.38,68,470
907,AC,0,0.27,68,383
19840,AC,1,0.67,48,465
463,AC/DC,0,0.49,30,744
497,AC/DC,0,0.61,58,221
259,AC/DC,0,0.58,5,859
770,AC/DC,0,0.94,55,340
483,AC/DC,0,0.33,99,657
19594,AC,1,0.13,26,966
14458,AC,1,0.09,69,844
665,AC/DC,0,0.58,11,958
6429,AC,1,0.59,88,727
718,AC/DC,0,0.03,11,417
317,AC/DC,0,0.7,74,517
17636,AC/DC,1,0.9,11,257
827,AC/DC,0,0.3,68,767
733,AC/DC,0,0.35,46,361
1950,AC,1,0.59,45,541
18756,AC,1,0.54,71,137
17888,AC,1,0.67,72,751
168,AC/DC,0,0.6,78,463
789,AC/DC,0,0.71,91,990
166,AC/DC,0,0.29,25,56
8817,AC,1,0.52,75,580
130,AC/DC,0,1.0,39,84
214,AC/DC,0,0.29,40,689
13018,AC,1,0.24,14,918
639,AC/DC,1,0.66,52,717
923,AC,0,0.56,70,313
8911,AC/DC,1,0.36,37,856
8846,AC,1,0.84,35,961
9861,AC,1,0.52,100,226
31,AC/DC,0,0.4,42,838
505,AC/DC,0,0.14,100,1000
974,AC/DC,0,0.49,37,793
841,AC/DC,0,0.0,65,812
16851,AC,1,0.15,72,766
575,AC/DC,0,0.91,25,461
862,AC/DC,0,0.16,86,459
301,AC/DC,0,0.69,18,130
16300,AC,1,0.12,90,694
18788,AC/DC,1,0.67,54,873
3896,AC,1,0.06,61,58
18861,AC,1,0.71,30,453
464,AC/DC,0,0.09,3,416
884,AC/DC,0,0.44,47,307
19613,AC/DC,1,0.21,69,232
3911,AC,1,0.31,11,392
6672,AC,1,1.0,31,603
1746,AC,1,0.61,75,334
59,AC/DC,0,1.0,50,296
383,AC/DC,1,0.21,83,901
335,AC/DC,0,0.74,92,960
148,AC/DC,0,0.75,56,732
638,AC/DC,0,0.53,40,215
512,AC/DC,0,0.93,63,358
6989,AC,0,0.15,65,307
314,AC/DC,0,0.24,26,625
1388,AC,0,0.92,19,473
140,AC/DC,0,0.42,53,542
314,AC/DC,0,0.42,71,325
508,AC/DC,1,0.6,29,767
846,AC/DC,0,0.92,77,190
16986,AC,1,0.64,54,248
832,AC/DC,0,0.29,11,533
13137,AC,1,0.71,43,354
646,AC/DC,0,0.85,84,782
40,AC/DC,0,0.25,20,301
19670,AC,1,0.27,1,960
521,AC/DC,0,0.25,68,41
868,AC/DC,1,0.32,29,162
38,AC/DC,0,0.57,75,556
3016,AC,1,0.1,21,908
587,AC/DC,0,0.89,11,44
8317,AC,1,0.63,11,900
15331,AC,1,0.74,80,146
446,AC/DC,0,0.96,24,546
16231,AC,1,0.53,55,15
967,AC/DC,0,0.87,94,719
5013,AC/DC,1,0.72,94,879
592,AC/DC,0,0.86,72,106
2936,AC,1,0.59,54,910
111,AC/DC,1,0.79,64,44
788,AC/DC,0,0.6,75,774
661,AC/DC,0,0.06,16,430
104,AC/DC,0,0.38,93,786
357,AC/DC,1,0.38,76,383
362,AC/DC,0,1.0,100,120
15716,AC,0,0.39,44,245
977,AC,1,0.0,65,998
698,AC/DC,0,0.59,57,750
298,AC/DC,0,0.09,96,137
6413,AC,1,0.75,53,0
9646,AC,1,0.64,59,46
11729,AC,0,0.42,81,763
423,AC/DC,0,0.54,32,965
594,AC/DC,0,0.84,51,74
57,AC/DC,0,0.71,67,39
2230,AC,1,0.75,33,277
154,AC/DC,0,0.85,59,11
40,AC/DC,0,0.14,51,789
2560,AC,1,0.18,3,16
135,AC/DC,0,0.98,88,19
483,AC/DC,0,0.83,88,145
782,AC/DC,0,0.71,42,996
15695,AC,1,0.31,69,576
437,AC/DC,0,0.9,43,488
2967,AC,1,0.07,59,827
5237,AC,1,0.51,100,77
490,AC/DC,0,0.22,88,60
4409,AC,1,0.97,42,141
14061,AC,1,0.69,93,235
4138,AC,1,0.34,75,944
960,AC/DC,0,0.76,33,843
512,AC/DC,0,0.31,42,362
18803,AC,1,0.88,13,383
16292,AC,1,0.55,74,913
6075,AC,1,0.01,2,38
12181,AC,1,0.08,100,860
384,AC/DC,0,0.5,77,612
602,AC/DC,0,0.05,10,302
724,AC/DC,0,0.86,13,470
143,AC/DC,0,0.91,8,599
19151,AC,1,0.77,70,521
149,AC/DC,0,0.64,38,333
7681,AC,1,0.63,80,0
466,AC,0,0.2,82,495
430,AC/DC,0,0.03,97,175
109,AC/DC,0,0.27,64,191
203,AC/DC,0,0.46,49,141
182,AC/DC,0,0.73,25,3
17194,AC,1,0.16,20,791
957,AC/DC,0,0.54,57,689
918,AC/DC,0,0.59,86,419
410,AC/DC,0,0.61,56,365
192,AC/DC,1,0.04,11,669
17319,AC,1,0.16,58,776
773,AC/DC,0,0.32,25,448
2478,AC,1,0.95,28,524
14355,AC,0,0.06,56,120
13911,AC,1,0.7,39,679
13,AC/DC,1,0.12,48,864
502,AC/DC,0,0.73,96,76
18384,AC,1,0.44,60,980
123,AC/DC,0,0.36,52,712
934,AC/DC,0,0.49,61,131
465,AC/DC,0,0.21,77,623
922,AC/DC,0,0.0,67,42
118,AC/DC,0,0.03,51,260
400,AC/DC,0,0.66,85,307
576,AC/DC,0,0.86,31,671
852,AC/DC,0,0.78,62,738
19379,AC,0,0.86,33,397
4913,AC,1,0.26,88,777
524,AC/DC,0,0.62,10,764
88,AC/DC,0,0.37,54,553
183,AC/DC,0,0.12,65,824
751,AC/DC,0,0.23,79,708
14261,AC,1,0.69,22,971
808,AC/DC,0,0.93,9,182
998,AC/DC,0,0.69,17,135
19697,AC,1,0.34,86,732
640,AC/DC,1,0.08,45,435
330,AC/DC,0,0.47,15,535
7874,AC/DC,1,0.47,37,641
959,AC/DC,0,0.36,46,291
4650,AC,1,0.37,72,163
637,AC/DC,1,0.51,33,38
864,AC,0,0.34,85,240
441,AC/DC,1,0.86,20,368
6098,AC/DC,1,0.47,86,21
7946,AC,0,0.91,96,685
366,AC/DC,0,0.37,49,662
19146,AC,0,0.33,44,269
952,AC,0,0.81,71,611
911,AC/DC,0,0.92,71,561
7260,AC,1,0.02,21,996
122,AC/DC,1,0.78,43,112
877,AC,0,0.6,72,242
5878,AC,1,0.31,12,158
492,AC/DC,0,0.62,12,291
267,AC/DC,0,0.29,36,564
970,AC/DC,0,0.31,80,624
7533,AC,1,0.99,11,447
579,AC/DC,0,0.82,78,247
387,AC/DC,1,0.58,25,811
729,AC/DC,0,0.37,45,491
102,AC/DC,0,0.47,54,551
570,AC/DC,0,0.3,74,183
19053,AC,1,0.7,82,382
499,AC,0,0.17,59,787
347,AC/DC,0,0.83,69,726
16899,AC,1,0.77,49,66
16279,AC,1,0.8,80,466
508,AC,0,0.33,8,915
19908,AC/DC,1,0.77,40,148
950,AC/DC,0,0.26,91,149
17852,AC,1,0.76,94,564
631,AC/DC,0,0.52,58,150
21,AC/DC,0,0.05,53,586
840,AC,0,0.81,27,584
592,AC,0,0.35,68,195
17691,AC,1,0.36,65,120
954,AC/DC,0,0.81,31,898
992,AC/DC,0,0.02,8,944
253,AC/DC,0,0.94,77,997
798,AC/DC,0,0.06,3,389
59,AC/DC,0,1.0,33,129
518,AC/DC,0,0.85,18,334
153,AC/DC,0,0.9,86,906
3593,AC,1,0.9,57,496
11545,AC/DC,1,0.26,11,964
2243,AC,1,0.07,54,292
51,AC/DC,1,0.54,4,972
1008,AC,1,0.47,68,167
18634,AC,1,0.76,29,819
9436,AC,1,0.25,12,572
17742,AC,1,0.09,36,943
13756,AC,1,0.95,56,351
2,AC/DC,0,0.55,50,408
716,AC/DC,1,0.45,94,350
9047,AC/DC,1,0.48,23,601
553,AC/DC,0,0.19,97,201
11196,AC/DC,1,0.74,6,138
1420,AC,1,0.93,38,932
2414,AC,0,0.03,30,144
14093,AC,1,0.04,90,7
5689,AC,1,0.2,45,433
322,AC,0,0.8,38,750
700,AC/DC,0,0.75,16,835
163,AC/DC,0,0.37,4,677
541,AC/DC,0,0.92,29,734
314,AC/DC,0,0.81,50,688
1059,AC,1,0.38,74,479
80,AC/DC,0,0.02,54,519
806,AC/DC,0,0.21,38,767
979,AC/DC,0,0.59,0,989
1049,AC,1,0.31,31,898
61,AC/DC,0,0.64,91,905
857,AC/DC,0,0.87,37,963
7784,AC/DC,1,0.45,85,371
7290,AC,1,0.14,96,264
152,AC/DC,0,0.48,70,80
19068,AC,1,0.81,15,606
777,AC/DC,1,0.14,50,991
16047,AC/DC,0,0.71,80,803
2607,AC,1,0.05,78,590
772,AC/DC,0,0.21,37,15
8498,AC,1,0.38,34,381
115,AC/DC,0,0.17,51,328
440,AC/DC,0,0.31,35,345
18948,AC,1,0.85,22,322
3757,AC,1,0.11,80,399
405,AC,1,0.69,49,156
249,AC/DC,0,0.62,77,936
2449,AC,1,0.22,44,812
17987,AC/DC,1,0.01,89,137
17932,AC,1,0.76,47,177
5467,AC,1,0.14,31,703
3708,AC,1,0.35,88,0
778,AC/DC,0,0.84,43,259
833,AC/DC,0,0.71,33,672
9828,AC,1,0.79,20,215
14172,AC,1,0.05,23,989
917,AC/DC,0,0.22,12,471
12238,AC,1,0.61,0,121
554,AC/DC,0,0.23,0,16
716,AC/DC,0,0.46,44,890
452,AC/DC,0,0.14,7,520
245,AC/DC,0,0.2,53,797
2734,AC,1,0.31,93,573
773,AC/DC,0,0.5,92,876
228,AC/DC,0,0.6,83,16
12,AC/DC,0,0.35,70,11
2738,AC,0,0.3,0,212
500,AC/DC,0,0.6,48,407
5098,AC,1,0.21,60,974
5598,AC,1,0.37,21,141
607,AC/DC,0,0.29,83,775
203,AC/DC,0,0.26,77,652
208,AC/DC,0,0.19,39,522
373,AC/DC,0,0.38,33,609
7190,AC,1,0.91,49,689
728,AC/DC,1,0.22,28,16
4226,AC,1,0.89,96,532
765,AC,0,0.27,51,809
334,AC/DC,0,0.14,43,631
1174,AC/DC,1,0.14,89,528
19716,AC,1,0.41,53,787
426,AC/DC,0,0.3,73,276
584,AC/DC,0,0.94,52,364
438,AC/DC,1,0.1,52,553
352,AC/DC,0,0.61,75,977
223,AC/DC,0,0.47,61,899
453,AC/DC,0,0.7,36,116
18032,AC,1,0.15,100,643
611,AC/DC,0,0.76,17,740
7960,AC,1,0.96,78,93
8597,AC,1,0.68,33,432
191,AC/DC,0,0.44,3,573
356,AC/DC,0,0.43,67,967
363,AC/DC,0,0.28,89,807
955,AC/DC,0,0.17,62,205
3998,AC,1,0.77,91,335
713,AC/DC,0,0.09,85,928
782,AC/DC,0,0.07,93,927
135,AC,0,0.5,100,75
946,AC/DC,0,0.05,9,703
360,AC/DC,1,0.48,80,663
665,AC/DC,0,0.8,29,766
11878,AC,1,0.41,8,281
12491,AC,1,0.79,30,573
4937,AC,1,0.48,11,877
65,AC/DC,1,0.65,18,854
1448,AC,1,0.82,95,830
876,AC/DC,1,0.95,21,511
320,AC/DC,0,0.74,26,718
555,AC/DC,0,0.23,79,214
16936,AC,1,0.2,10,721
89,AC/DC,0,0.91,15,864
18911,AC,1,0.65,96,609
690,AC/DC,0,0.04,67,974
17144,AC,1,0.24,19,77
178,AC/DC,0,0.55,57,591
8924,AC,1,0.74,28,672
18616,AC,1,0.19,53,109
132,AC/DC,0,0.23,80,406
13594,AC,1,0.06,96,165
241,AC/DC,0,0.91,1,235
15638,AC,1,0.77,99,840
4390,AC,1,0.03,31,736
447,AC/DC,0,0.73,81,417
5309,AC,1,0.58,100,756
10662,AC,1,0.06,22,14
13,AC/DC,0,0.86,75,503
13982,AC,1,0.86,62,900
14619,AC,1,0.69,68,288
10,AC/DC,0,0.31,48,184
17476,AC,1,0.55,84,652
198,AC/DC,0,0.64,65,500
627,AC/DC,0,1.0,1,41
44,AC/DC,0,0.13,29,933
481,AC/DC,0,0.43,26,313
6909,AC,1,0.16,51,907
616,AC/DC,0,0.61,92,55
842,AC,0,0.89,73,961
407,AC,0,0.77,66,101
697,AC/DC,1,0.92,10,751
253,AC/DC,0,0.53,53,77
591,AC/DC,1,0.15,15,785
516,AC/DC,0,0.97,99,317
10561,AC/DC,1,0.92,36,586
226,AC/DC,0,0.19,20,545
660,AC/DC,1,0.13,50,127
12806,AC/DC,1,0.72,51,65
545,AC/DC,0,0.61,93,373
601,AC/DC,1,0.33,19,772
1250,AC,0,0.11,92,959
785,AC,1,0.26,5,383
7283,AC/DC,1,0.07,100,267
4058,AC/DC,1,0.56,61,581
861,AC/DC,0,0.18,38,419
543,AC/DC,0,0.46,63,396
439,AC/DC,0,0.45,66,124
501,AC/DC,1,0.35,64,533
1037,AC,1,1.0,89,111
535,AC/DC,0,0.95,21,335
749,AC/DC,0,0.95,80,8
65,AC,0,0.08,64,773
5494,AC,0,1.0,97,4
670,AC/DC,0,0.59,32,986
103,AC/DC,0,0.52,91,187
141,AC/DC,0,0.85,58,520
86,AC/DC,0,0.16,5,235
210,AC/DC,1,0.91,75,133
821,AC/DC,0,0.69,35,473
240,AC/DC,0,0.89,17,763
523,AC/DC,0,1.0,61,616
9412,AC,0,0.38,50,575
442,AC,1,0.27,37,402
723,AC/DC,0,0.33,8,774
8845,AC,1,0.26,86,285
974,AC/DC,0,0.35,32,660
726,AC/DC,0,0.93,47,953
15988,AC,1,0.78,62,215
364,AC/DC,0,0.82,24,154
9902,AC,1,0.43,73,64
15845,AC/DC,1,0.81,52,585
5368,AC,1,0.03,64,406
19815,AC,1,0.36,87,715
585,AC/DC,0,0.06,8,437
17087,AC,1,0.83,87,725
11704,AC,1,0.14,15,872
7877,AC,1,0.25,50,387
17245,AC,0,0.24,69,352
19726,AC,1,0.11,57,928
604,AC,0,0.23,9,83
761,AC/DC,0,0.24,49,349
10969,AC,1,0.2,96,772
611,AC/DC,1,0.26,38,82
172,AC/DC,0,0.6,76,730
7942,AC,1,0.97,57,96
357,AC/DC,1,0.04,35,857
5581,AC,0,0.49,98,78
959,AC/DC,0,0.76,11,921
4264,AC,1,0.55,15,467
275,AC/DC,0,0.9,63,175
200,AC/DC,0,0.89,10,707
15,AC/DC,0,0.49,63,676
12043,AC,1,0.86,14,778
17242,AC/DC,1,0.76,23,406
690,AC/DC,0,0.16,59,304
793,AC/DC,0,0.05,66,900
657,AC/DC,1,0.65,11,978
16898,AC,1,0.89,85,814
12988,AC,1,0.94,67,172
818,AC/DC,0,0.44,57,499
328,AC/DC,0,0.56,57,600
678,AC,0,0.16,94,39
1957,AC,1,0.78,84,988
502,AC/DC,0,0.25,0,998
3284,AC,0,0.0,7,321
1993,AC,1,0.11,97,60
9439,AC/DC,1,0.42,62,117
9743,AC,0,0.74,39,577
122,AC/DC,0,0.6,24,905
8846,AC,1,0.29,57,848
13061,AC,1,0.62,58,326
708,AC/DC,0,0.79,58,104
459,AC/DC,1,0.96,61,422
3118,AC,1,0.46,59,279
677,AC/DC,0,0.61,9,669
8454,AC,0,0.98,8,99
19460,AC,1,0.76,52,309
607,AC/DC,0,0.77,62,875
550,AC/DC,0,0.33,54,471
78,AC/DC,0,0.41,93,182
671,AC/DC,0,0.99,6,497
1628,AC,0,0.84,8,23
590,AC/DC,0,0.99,15,698
777,AC/DC,0,0.48,30,899
117,AC/DC,0,0.58,95,953
322,AC/DC,0,0.09,60,52
404,AC/DC,0,0.79,18,776
22,AC/DC,0,0.37,19,939
481,AC/DC,0,0.98,20,959
899,AC/DC,0,0.18,29,775
238,AC/DC,0,0.88,20,973
13729,AC,1,0.45,17,49
393,AC/DC,1,0.52,10,700
18350,AC,1,0.87,70,290
3358,AC,1,0.23,4,2
700,AC/DC,0,0.74,58,552
7254,AC,1,0.68,2,947
834,AC/DC,0,0.66,100,133
18404,AC,1,0.48,67,961
526,AC/DC,0,0.73,40,988
17425,AC,0,0.58,18,720
254,AC/DC,1,0.37,18,570
501,AC,0,0.02,78,886
8624,AC,1,0.1,84,221
16357,AC,1,0.87,37,574
3329,AC,1,0.46,76,613
15056,AC,1,0.36,40,135
893,AC/DC,0,0.79,88,835
12922,AC,1,0.88,60,359
8744,AC,1,1.0,29,333
1,AC,0,0.23,39,341
8141,AC,1,0.54,52,385
910,AC/DC,0,0.08,76,329
51,AC,1,0.75,56,25
746,AC/DC,0,0.24,88,341
135,AC/DC,1,0.61,93,735
209,AC/DC,0,0.19,56,940
74,AC/DC,0,0.59,40,53
660,AC/DC,0,0.16,95,184
12552,AC/DC,1,0.42,47,372
290,AC/DC,0,0.03,52,787
8627,AC/DC,1,0.19,33,860
8200,AC,0,0.91,85,738
172,AC/DC,0,0.92,47,945
692,AC/DC,0,0.69,72,519
15237,AC,1,0.78,69,386
7455,AC,1,0.99,45,224
12898,AC/DC,1,0.95,73,992
17541,AC,1,0.16,22,355
14,AC/DC,0,0.89,99,933
85,AC/DC,0,0.23,20,332
352,AC/DC,0,0.05,72,204
13451,AC,1,0.68,17,631
577,AC,0,0.19,1,631
964,AC/DC,0,0.19,57,4
42,AC/DC,0,0.79,64,452
643,AC/DC,0,0.79,56,947
147,AC/DC,0,0.62,92,819
14399,AC,1,0.5,49,519
11777,AC,1,0.57,99,894
209,AC/DC,0,0.44,78,279
534,AC/DC,0,0.29,66,724
450,AC/DC,0,0.35,66,693
16755,AC,1,0.16,60,277
3158,AC,1,0.02,66,9
195,AC/DC,0,0.28,80,189
13364,AC,1,0.74,1,132
554,AC/DC,0,0.38,44,782
14190,AC,1,0.57,100,937
16849,AC,1,0.86,56,631
6055,AC,1,0.87,40,247
761,AC/DC,0,0.96,61,770
866,AC/DC,0,0.05,66,989
19503,AC,1,0.01,53,954
542,AC/DC,0,0.96,60,262
8196,AC,1,0.29,71,265
448,AC/DC,0,0.38,92,621
462,AC/DC,0,0.0,84,608
372,AC/DC,1,0.99,94,293
595,AC/DC,0,0.59,9,48
10,AC/DC,0,0.26,5,505
695,AC/DC,0,0.78,72,380
469,AC/DC,0,0.61,29,432
3492,AC,1,0.97,29,148
366,AC/DC,0,0.59,96,516
570,AC,1,0.24,76,960
17,AC/DC,0,0.84,53,790
1,AC/DC,0,0.82,100,784
2334,AC,1,0.83,98,677
970,AC/DC,0,0.23,65,797
18679,AC,1,0.04,11,328
9950,AC,1,0.72,97,548
16154,AC,0,0.97,20,128
208,AC/DC,0,0.88,19,873
702,AC/DC,0,0.9,89,616
933,AC/DC,0,0.0,16,544
580,AC/DC,0,0.29,75,422
739,AC/DC,0,0.04,46,77
2352,AC,1,0.63,83,628
221,AC/DC,0,0.41,32,562
179,AC/DC,0,0.12,95,717
9275,AC,1,0.47,13,292
899,AC/DC,0,0.23,96,328
437,AC/DC,0,0.45,82,184
18413,AC/DC,1,0.4,44,890
421,AC/DC,1,0.79,25,967
